activity_id,which_distribution,which_units,log_plot,per_dollar_ok,has_exp,actual_total_expenditure,outcome_norm,baseline_norm,target_norm,outcome_norm_log10,baseline_norm_log10,target_norm_log10,outcome_norm_dollars_per_unit,baseline_norm_dollars_per_unit,target_norm_dollars_per_unit,outcome_norm_dollars_per_unit_log10,baseline_norm_dollars_per_unit_log10,target_norm_dollars_per_unit_log10,outcome_norm_dollars_per_unit_split,baseline_norm_dollars_per_unit_split,target_norm_dollars_per_unit_split,outcome_norm_dollars_per_unit_split_log10,baseline_norm_dollars_per_unit_split_log10,target_norm_dollars_per_unit_split_log10,outcome_over_target
44000-P110481,co2_emission_reductions,tonnes_co2e,True,True,True,61926944.0,15717.0,,,4.196369653167609,,,3940.1249602341413,,,3.5955099956021126,,,3940.1249602341413,,,3.5955099956021126,,,
XM-DAC-41114-PROJECT-01000365,co2_emission_reductions,tonnes_co2e,True,True,False,,865.83,0.0,45.0,2.937432629535278,,1.6532125137753437,,,,,,,,,,,,,19.240666666666666
44000-P125996,co2_emission_reductions,tonnes_co2e_per_year,True,True,True,413885277.0,365707.0,0.0,269148.0,5.563133273251029,,5.42999115698399,1131.7401006816933,,1537.7609233581525,3.053746704414811,,3.1868888206818498,1131.7401006816933,,1537.7609233581525,3.053746704414811,,3.1868888206818498,1.3587580067472171
44000-P158713,co2_emission_reductions,tonnes_co2e_per_year,True,True,True,293026408.0,11736.0,,,4.069520100835226,,,24968.167007498298,,,4.397386660583277,,,24968.167007498298,,,4.397386660583277,,,
44000-P100101,co2_emission_reductions,tonnes_co2e,True,True,True,104730835.0,730000.0,,730000.0,5.863322860120456,,5.863322860120456,143.46689726027398,,143.46689726027398,2.156751705978522,,2.156751705978522,143.46689726027398,,143.46689726027398,2.156751705978522,,2.156751705978522,1.0
44000-P132621,co2_emission_reductions,tonnes_co2e,True,True,True,141990433.0,458000.0,,,5.660865478003869,,,310.02277947598253,,,2.491393605567363,,,310.02277947598253,,,2.491393605567363,,,
44000-P006043,co2_emission_reductions,tonnes_co2e,True,True,True,79866752.0,4628.0,,1339.0,3.665393350279712,,3.126780577012009,17257.292999135694,,59646.566094100075,4.2369726727384664,,4.77558544600617,17257.292999135694,,59646.566094100075,4.2369726727384664,,4.77558544600617,3.4563106796116503
44000-P133312,co2_emission_reductions,tonnes_co2e,True,True,True,269443736.0,96337.0,0.0,120000.0,4.9837931179621,,5.079181246047625,2796.887343388314,,2245.364466666667,3.446674973654278,,3.351286845568753,2796.887343388314,,2245.364466666667,3.446674973654278,,3.351286845568753,0.8028083333333333
44000-P113766,co2_emission_reductions,tonnes_co2e_per_year,True,True,True,45503928.0,4930000.0,0.0,6100000.0,6.69284691927723,,6.785329835010767,9.230005679513184,,7.4596603278688525,0.9652019682610666,,0.8727190525275297,9.230005679513184,,7.4596603278688525,0.9652019682610666,,0.8727190525275297,0.8081967213114755
44000-P147921,co2_emission_reductions,tonnes_co2e,True,True,True,93054476.0,3180000.0,6.87,0.0,6.502427119984433,0.8369567370595504,,29.262413836477986,13545047.452692868,,1.466310147921349,7.131780530846231,,29.262413836477986,13545047.452692868,,1.466310147921349,7.131780530846231,,
44000-P106424,co2_emission_reductions,tonnes_co2e,True,True,True,250625001.0,5074310.0,0.0,5140000.0,6.705376995636374,,6.710963118995275,49.39095187325962,,48.75972782101167,1.6936473960607301,,1.6880612727018276,49.39095187325962,,48.75972782101167,1.6936473960607301,,1.6880612727018276,0.9872198443579766
44000-P090073,co2_emission_reductions,tonnes_co2e,True,True,True,21096036.0,656336.0,550000.0,550000.0,5.817126225942984,5.740362689494244,5.740362689494244,32.14212842202774,38.35642909090909,38.35642909090909,1.5070746319586243,1.583838168407365,1.583838168407365,16.07106421101387,19.178214545454544,19.178214545454544,1.206044636294643,1.2828081727433838,1.2828081727433838,1.1933381818181819
44000-P078301,co2_emission_reductions,tonnes_co2e,True,True,True,29167938.0,32.978985,,,1.5182372851568176,,,884440.136650658,,,5.946668443009319,,,884440.136650658,,,5.946668443009319,,,
44000-P169828,co2_emission_reductions,tonnes_co2e_per_year,True,True,True,196733483.0,60000.0,,,4.778151250383644,,,3278.891383333333,,,3.5157270304539727,,,3278.891383333333,,,3.5157270304539727,,,
44000-P154672,co2_emission_reductions,tonnes_co2e,True,True,True,500000000.0,25000000.0,,,7.3979400086720375,,,20.0,,,1.3010299956639813,,,20.0,,,1.3010299956639813,,,
44000-P113078,co2_emission_reductions,tonnes_co2e_per_year,True,True,True,129044473.0,1063333.0,0.0,,6.0266692921950265,,,121.35847660140332,,,2.0840701161656487,,,121.35847660140332,,,2.0840701161656487,,,
44000-P123323,co2_emission_reductions,tonnes_co2e,True,True,True,160000000.0,1940000.0,1810000.0,1810000.0,6.2878017299302265,6.2576785748691846,6.2576785748691846,82.47422680412372,88.39779005524862,88.39779005524862,1.9163182527256988,1.9464414077867402,1.9464414077867402,82.47422680412372,88.39779005524862,88.39779005524862,1.9163182527256988,1.9464414077867402,1.9464414077867402,1.0718232044198894
44000-P118197,co2_emission_reductions,tonnes_co2e_per_year,True,True,True,73803933.0,63000.0,,,4.799340549453582,,,1171.491,,,3.0687389564708805,,,585.7455,,,2.7677089608068997,,,
44000-P122320,co2_emission_reductions,tonnes_co2e_per_year,True,True,True,25714169.0,204883.0,,165005.0,5.311505924665307,,5.217497104453355,125.50660132856314,,155.8387260992091,2.0986665692048696,,2.192675389416822,125.50660132856314,,155.8387260992091,2.0986665692048696,,2.192675389416822,1.2416775249234873
44000-P147760,co2_emission_reductions,tonnes_co2e,True,True,True,54527786.0,5245627.0,,,6.7197974060406525,,,10.394903411927688,,,1.0168204582791562,,,10.394903411927688,,,1.0168204582791562,,,
44000-P164190,co2_emission_reductions,tonnes_co2e,True,True,True,148420698.0,10460.0,,10000.0,4.019531684531255,,4.0,14189.359273422562,,14842.0698,4.151962785147434,,4.17149446967869,14189.359273422562,,14842.0698,4.151962785147434,,4.17149446967869,1.046
44000-P088996,co2_emission_reductions,tonnes_co2e_per_year,True,True,True,11950890.0,139000.0,0.0,241000.0,5.143014800254095,,5.382017042574868,85.97762589928058,,49.58875518672199,1.9343854487703216,,1.6953832064495482,85.97762589928058,,49.58875518672199,1.9343854487703216,,1.6953832064495482,0.5767634854771784
XM-DAC-46004-45022-002-GRNT0420,co2_emission_reductions,tonnes_co2e,True,True,False,,1200000.0,,900000.0,6.079181246047625,,5.954242509439325,,,,,,,,,,,,,1.3333333333333333
44000-P096556,co2_emission_reductions,tonnes_co2e_per_year,True,True,True,119830393.0,785000.0,4.0,1000000.0,5.894869656745253,0.6020599913279624,6.0,152.6501821656051,29957598.25,119.830393,2.183697326901761,7.4765069923190515,2.078566983647014,76.32509108280254,14978799.125,59.9151965,1.8826673312377802,7.17547699665507,1.7775369879830327,0.785
44000-P143580,co2_emission_reductions,tonnes_co2e,True,True,True,59102910.0,574497.0,0.0,504653.0,5.75928776516208,,5.702992859338142,102.87766515752041,,117.11593907100523,2.01232109923575,,2.0686160050596882,102.87766515752041,,117.11593907100523,2.01232109923575,,2.0686160050596882,1.1384000491426782
44000-P128768,co2_emission_reductions,tonnes_co2e,True,True,True,117667235.0,189900.0,,,5.278524964737017,,,619.6273565034229,,,2.7921305835807275,,,619.6273565034229,,,2.7921305835807275,,,
44000-P164047,co2_emission_reductions,tonnes_co2e,True,True,True,147449741.0,3406211.0,0.0,3.12,6.532271547119651,,0.4941545940184428,43.288492991185805,,47259532.37179487,1.636372466917236,,7.674489420018444,43.288492991185805,,47259532.37179487,1.636372466917236,,7.674489420018444,
44000-P107992,co2_emission_reductions,tonnes_co2e,True,True,True,13816171.0,41504.0,0.0,60750.0,4.618089954403986,,4.78354628227035,332.8876975713184,,227.426683127572,2.5222977453650883,,2.3568414174987242,332.8876975713184,,227.426683127572,2.5222977453650883,,2.3568414174987242,0.6831934156378601
44000-P154698,co2_emission_reductions,tonnes_co2e_per_year,True,True,True,87690709.0,206150.0,,,5.314183339137378,,,425.37331554693185,,,2.628770242326914,,,425.37331554693185,,,2.628770242326914,,,
44000-P073977,co2_emission_reductions,tonnes_co2e_per_year,True,True,True,119999999.0,6869.0,,,3.836893516376434,,,17469.79167273257,,,4.24228772605207,,,8734.895836366284,,,3.9412577303880894,,,
44000-P083702,co2_emission_reductions,tonnes_co2e,True,True,True,137800650.0,818397.0,0.0,1000000.0,5.912964028712616,,6.0,168.37873305987193,,137.80065,2.2262872374130365,,2.1392512661256524,168.37873305987193,,137.80065,2.2262872374130365,,2.1392512661256524,0.818397
44000-P153604,co2_emission_reductions,tonnes_co2e_per_year,True,True,True,135897169.0,8000.0,,,3.9030899869919438,,,16987.146125,,,4.230120422643535,,,8493.5730625,,,3.9290904269795535,,,
44000-P125022,co2_emission_reductions,tonnes_co2e_per_year,True,True,True,83488819.0,87992.0,,70000.0,4.9444431890389176,,4.845098040014257,948.8228361669243,,1192.6974142857143,2.9771851286992916,,3.0765302777239527,948.8228361669243,,1192.6974142857143,2.9771851286992916,,3.0765302777239527,1.2570285714285714
44000-P127743,co2_emission_reductions,tonnes_co2e,True,True,True,145290451.0,5292665.0,0.0,,6.723674406128864,,,27.451284182921082,,,1.438562665744622,,,27.451284182921082,,,1.438562665744622,,,
44000-P163383,co2_emission_reductions,tonnes_co2e,True,True,True,96151984.0,33900000.0,,,7.5301996982030825,,,2.8363417109144544,,,0.4527585516960394,,,4.254512566371681,,,0.6288498107517206,,,
44000-P114338,co2_emission_reductions,tonnes_co2e,True,True,True,530809460.0,9600000.0,,,6.982271233039568,,,55.29265208333333,,,1.7426674211475333,,,55.29265208333333,,,1.7426674211475333,,,
44000-P118737,co2_emission_reductions,tonnes_co2e,True,True,True,303991301.0,2950438.0,1.269,2.950438,6.469886492880868,0.10346162209470475,0.46988649288086853,103.03260092230374,239551852.63987392,103032600.92230374,2.0129746631563323,8.379399533942497,8.012974663156333,103.03260092230374,239551852.63987392,103032600.92230374,2.0129746631563323,8.379399533942497,8.012974663156333,
